Rank;Team;Total Points;Previous Points;+/-;Positions;Avg.;AVG WGT;Avg.;AVG WGT;Avg.;AVG WGT;Avg.;AVG WGT
76;AZEAzerbaijan;439(438.99);386;11;;309.78;309.78;111.87;55.94;77.92;23.38;249.52;49.90
77;TRITrinidad and Tobago;436(435.94);439;-1;;151.73;151.73;306.96;153.48;284.28;85.28;227.24;45.45
77;SYRSyria;436(435.86);426;3;;265.35;265.35;222.08;111.04;141.10;42.33;85.69;17.14
79;JAMJamaica;435(435.49);458;-5;;133.88;133.88;370.58;185.29;320.00;96.00;101.61;20.32
80;FROFaroe Islands;431(431.21);431;-3;;225.23;225.23;241.31;120.66;270.27;81.08;21.25;4.25
81;BENBenin;427(427.08);396;2;;200.46;200.46;294.77;147.38;100.73;30.22;245.10;49.02
82;CHNChina PR;425(424.9);425;-1;;207.53;207.53;234.48;117.24;245.50;73.65;132.40;26.48
83;BLRBelarus;419(418.6);428;-5;;191.07;191.07;265.17;132.59;221.07;66.32;143.14;28.63
84;CPVCape Verde Islands;418(417.54);418;-2;;99.63;99.63;241.19;120.59;407.97;122.39;374.62;74.92
85;CGOCongo;412(412.35);392;-1;;132.81;132.81;230.23;115.12;447.28;134.18;151.16;30.23
86;GABGabon;409(408.88);392;-2;;202.87;202.87;112.83;56.41;380.65;114.20;177.05;35.41
87;NORNorway;391(390.88);387;-1;;108.03;108.03;333.68;166.84;273.54;82.06;169.75;33.95
88;QATQatar;374(374.16);369;1;;171.06;171.06;239.06;119.53;170.23;51.07;162.48;32.50
89;SKNSt. Kitts and Nevis;362(361.87);334;9;;170.45;170.45;251.04;125.52;219.67;65.90;0.00;0.00
90;SWZSwaziland;361(361.43);378;-2;;207.19;207.19;238.81;119.40;78.84;23.65;55.94;11.19
91;CYPCyprus;356(355.54);343;5;;147.76;147.76;215.33;107.66;285.86;85.76;71.79;14.36
92;LBYLibya;351(351.36);361;-2;;213.78;213.78;183.88;91.94;0.00;0.00;228.20;45.64
93;ATGAntigua and Barbuda;349(348.67);349;0;;142.80;142.80;268.81;134.41;238.21;71.46;0.00;0.00
94;NAMNamibia;345(345.2);346;0;;212.57;212.57;119.46;59.73;152.15;45.65;136.25;27.25
95;GUAGuatemala;344(344.37);352;-3;;164.88;164.88;221.96;110.98;220.07;66.02;12.50;2.50
95;NZLNew Zealand;344(343.62);301;17;;229.31;229.31;191.08;95.54;19.04;5.71;65.27;13.05
97;MADMadagascar;341(341.17);302;14;;165.75;165.75;175.05;87.52;194.93;58.48;147.06;29.41
98;ESTEstonia;337(337);331;2;;155.51;155.51;190.40;95.20;202.40;60.72;127.84;25.57
99;ZAMZambia;335(335.32);334;-1;;126.60;126.60;196.57;98.29;279.83;83.95;132.42;26.48
100;NCANicaragua;331(331.47);331;0;;168.53;168.53;271.24;135.62;91.07;27.32;0.00;0.00
100;INDIndia;331(331.33);331;0;;260.61;260.61;67.02;33.51;85.00;25.50;58.58;11.72
100;KAZKazakhstan;331(331.2);325;4;;171.38;171.38;213.84;106.92;89.97;26.99;129.57;25.91
103;GNBGuinea-Bissau;330(329.51);346;-9;;167.66;167.66;233.27;116.64;42.93;12.88;161.68;32.34
104;LTULithuania;327(327.41);331;-4;;182.51;182.51;107.02;53.51;194.78;58.43;164.75;32.95
104;MTNMauritania;327(327.31);359;-13;;179.92;179.92;208.97;104.48;43.86;13.16;148.75;29.75
106;MOZMozambique;326(325.87);323;-1;;154.56;154.56;151.22;75.61;255.07;76.52;95.91;19.18
106;SLVEl Salvador;326(325.65);317;1;;149.43;149.43;171.16;85.58;124.01;37.20;267.17;53.43
108;FINFinland;323(322.83);335;-11;;53.79;53.79;328.63;164.31;138.60;41.58;315.75;63.15
109;JORJordan;318(318.16);311;0;;109.69;109.69;273.30;136.65;60.71;18.21;268.07;53.61
109;CANCanada;318(318.15);312;-1;;146.16;146.16;229.53;114.77;142.53;42.76;72.35;14.47
109;EQGEquatorial Guinea;318(317.74);287;8;;73.44;73.44;157.23;78.62;454.54;136.36;146.63;29.33
112;TOGTogo;317(316.93);320;-6;;152.11;152.11;135.45;67.72;226.46;67.94;145.77;29.15
113;SLESierra Leone;309(308.74);300;0;;161.50;161.50;124.68;62.34;93.50;28.05;284.23;56.85
114;PRKKorea DPR;307(306.53);289;2;;142.07;142.07;290.04;145.02;53.78;16.13;16.51;3.30
115;ZIMZimbabwe;303(303.21);304;-5;;152.58;152.58;202.02;101.01;63.75;19.13;152.53;30.51
116;PLEPalestine;294(294.03);265;8;;130.73;130.73;183.41;91.71;57.57;17.27;271.62;54.32
117;MWIMalawi;287(287.15);291;-3;;127.23;127.23;145.14;72.57;230.35;69.11;91.20;18.24
118;OMAOman;285(284.82);290;-3;;116.09;116.09;176.62;88.31;88.34;26.50;269.60;53.92
